6 squares | u1 = 2 | v1 = 3 | u2 = 363 | v2 = 382 | [69262133329, 22358323729, 139719749689, 147571018609, 77113402249, 6655785889, 14507054809, 131868480769, 84964671169]
6 squares | u1 = 2 | v1 = 3 | u2 = 341 | v2 = 390 | [8952620520649, 3529389696889, 24036368891089, 27256541406649, 12172793036209, -2910955334231, 309217181329, 20816196375529, 15392965551769]
6 squares | u1 = 2 | v1 = 3 | u2 = 341 | v2 = 390 | [8952620520649, 24036368891089, 3529389696889, 6749562212449, 12172793036209, 17596023859969, 20816196375529, 309217181329, 15392965551769]
6 squares | u1 = 2 | v1 = 3 | u2 = 213 | v2 = 482 | [337714129, 22358323729, 208644168889, 285419857009, 77113402249, -131193052511, -54417364391, 131868480769, 153889090369]
6 squares | u1 = 1 | v1 = 4 | u2 = 4 | v2 = 5 | [791569, 277729, 388129, 82369, 485809, 889249, 583489, 693889, 180049]
6 squares | u1 = 1 | v1 = 4 | u2 = 3 | v2 = 8 | [2942521, 14161, 1663561, 261121, 1540081, 2819041, 1416601, 3066001, 137641]
6 squares | u1 = 1 | v1 = 4 | u2 = 2 | v2 = 9 | [1681, 1225, 18769, 24313, 7225, -9863, -4319, 13225, 12769]
6 squares | u1 = 1 | v1 = 4 | u2 = 2 | v2 = 9 | [1681, 18769, 1225, 6769, 7225, 7681, 13225, -4319, 12769]
6 squares | u1 = 1 | v1 = 4 | u2 = 1 | v2 = 12 | [4092529, 11122225, 3013921, 4997617, 6076225, 7154833, 9138529, 1030225, 8059921]
6 squares | u1 = 1 | v1 = 4 | u2 = 1 | v2 = 12 | [4092529, 13105921, 1030225, 3013921, 6076225, 9138529, 11122225, -953471, 8059921]
6 squares | u1 = 1 | v1 = 4 | u2 = 8 | v2 = 15 | [156841, 6241, 87481, 14161, 83521, 152881, 79561, 160801, 10201]
6 squares | u1 = 1 | v1 = 4 | u2 = 1 | v2 = 24 | [144144361, 80263681, 64241401, 16313521, 96216481, 176119441, 128191561, 112169281, 48288601]
6 squares | u1 = 1 | v1 = 4 | u2 = 20 | v2 = 29 | [516961, 2819041, 1284241, 2307361, 1540081, 772801, 1795921, 261121, 2563201]
6 squares | u1 = 1 | v1 = 4 | u2 = 32 | v2 = 33 | [1210970401, 218773681, 2441210641, 2520558481, 1290318241, 60078001, 139425841, 2361862801, 1369666081]
6 squares | u1 = 1 | v1 = 4 | u2 = 12 | v2 = 37 | [113569, 4190209, 2563729, 4739329, 2289169, -160991, 2014609, 388129, 4464769]
6 squares | u1 = 1 | v1 = 4 | u2 = 1 | v2 = 38 | [1868689, 354025, 4041361, 4260697, 2088025, -84647, 134689, 3822025, 2307361]
6 squares | u1 = 1 | v1 = 4 | u2 = 1 | v2 = 38 | [1868689, 4041361, 354025, 573361, 2088025, 3602689, 3822025, 134689, 2307361]
6 squares | u1 = 1 | v1 = 4 | u2 = 1 | v2 = 40 | [666827329, 1355933329, 199534609, 273472369, 740765089, 1208057809, 1281995569, 125596849, 814702849]
6 squares | u1 = 1 | v1 = 4 | u2 = 40 | v2 = 41 | [15500521, 10233601, 6560761, 1825201, 10764961, 19704721, 14969161, 11296321, 6029401]
6 squares | u1 = 1 | v1 = 4 | u2 = 16 | v2 = 45 | [2864198089, 31281649, 1615487449, 254945089, 1503655729, 2752366369, 1391824009, 2976029809, 143113369]
6 squares | u1 = 1 | v1 = 4 | u2 = 10 | v2 = 49 | [504316849, 3308895529, 1609873489, 2913251929, 1807695289, 702138649, 2005517089, 306495049, 3111073729]
6 squares | u1 = 1 | v1 = 4 | u2 = 10 | v2 = 49 | [504316849, 4612273969, 306495049, 1609873489, 1807695289, 2005517089, 3308895529, -996883391, 3111073729]
6 squares | u1 = 1 | v1 = 4 | u2 = 20 | v2 = 49 | [4342297249, 485809, 2459353009, 384434449, 2267378689, 4150322929, 2075404369, 4534271569, 192460129]
